"unigram","bigram","trigram","quadgram","freq"
"and","i","needed","to",3
"and","i","started","to",3
"and","i","still","have",3
"and","i","thank","you",3
"and","i","think","its",3
"and","i","think","that",3
"and","i","wanted","to",3
"and","i","was","a",3
"and","i","was","in",3
"and","i","was","just",3
"and","i","was","so",3
"and","i","went","to",3
"and","if","you","are",3
"and","if","you","havent",3
"and","in","a","way",3
"and","in","the","end",3
"and","is","expected","to",3
"and","is","full","of",3
"and","is","one","of",3
"and","it","did","not",3
"and","it","hit","me",3
"and","it","was","great",3
"and","it","was","the",3
"and","maybe","just","maybe",3
"and","more","of","the",3
"and","most","of","all",3
"and","need","to","be",3
"and","no","one","knew",3
"and","none","of","the",3
"and","not","a","source",3
"and","of","the","holy",3
"and","of","the","son",3
"and","on","and","on",3
"and","one","of","them",3
"and","over","and","over",3
"and","part","of","the",3
"and","sorrowful","i","am",3
"and","that","is","a",3
"and","that","would","be",3
"and","the","los","angeles",3
"and","the","other","is",3
"and","the","other","side",3
"and","the","result","is",3
"and","the","smell","of",3
"and","the","subject","of",3
"and","the","united","states",3
"and","the","way","it",3
"and","then","had","a",3
"and","then","it","was",3
"and","then","there","were",3
"and","there","was","no",3
"and","theres","a","lot",3
"and","this","is","what",3
"and","this","was","a",3
"and","tries","to","eat",3
"and","wait","for","the",3
"and","was","able","to",3
"and","we","had","a",3
"and","we","need","to",3
"and","we","want","to",3
"and","we","will","have",3
"and","what","do","you",3
"and","what","you","believe",3
"and","who","knows","maybe",3
"and","you","have","a",3
"another","winner","will","be",3
"any","of","the","other",3
"any","of","these","items",3
"anyone","who","has","a",3
"appears","to","be","a",3
"are","a","couple","of",3
"are","a","number","of",3
"are","all","in","the",3
"are","just","some","of",3
"are","likely","to","be",3
"are","living","in","the",3
"are","married","filing","jointly",3
"are","more","willing","to",3
"are","part","of","a",3
"are","so","many","ways",3
"are","some","things","we",3
"are","the","ones","who",3
"are","times","when","i",3
"are","trying","to","say",3
"are","we","going","to",3
"are","you","doing","to",3
"are","you","talking","about",3
"around","the","house","and",3
"as","a","kid","i",3
"as","a","result","ive",3
"as","a","second","language",3
"as","a","whole","is",3
"as","an","added","bonus",3
"as","far","as","im",3
"as","i","sit","here",3
"as","i","write","this",3
"as","if","i","was",3
"as","if","it","were",3
"as","if","we","were",3
"as","long","as","youve",3
"as","most","of","you",3
"as","much","as","any",3
"as","much","as","possible",3
"as","much","as","you",3
"as","some","of","you",3
"as","the","fact","that",3
"as","to","how","the",3
"as","we","all","know",3
"as","well","as","his",3
"as","well","as","our",3
"as","you","can","imagine",3
"as","you","can","tell",3
"as","you","would","expect",3
"asked","if","i","would",3
"at","a","later","date",3
"at","a","press","conference",3
"at","a","time","i",3
"at","a","time","in",3
"at","all","in","fact",3
"at","first","i","thought",3
"at","least","a","few",3
"at","least","some","of",3
"at","one","point","i",3
"at","or","near","the",3
"at","the","ballot","box",3
"at","the","center","of",3
"at","the","expense","of",3
"at","the","forefront","of",3
"at","the","front","door",3
"at","the","kitchen","table",3
"at","the","other","end",3
"at","the","start","and",3
"at","the","thought","of",3
"at","the","time","it",3
"at","the","time","that",3
"at","this","point","in",3
"at","this","time","of",3
"available","to","the","public",3
"back","in","the","oven",3
"back","of","my","neck",3
"back","of","the","book",3
"back","to","the","car",3
"be","a","bit","more",3
"be","a","lot","of",3
"be","a","matter","of",3
"be","able","to","answer",3
"be","able","to","do",3
"be","able","to","find",3
"be","able","to","have",3
"be","able","to","keep",3
"be","able","to","make",3
"be","able","to","pay",3
"be","able","to","take",3
"be","able","to","write",3
"be","careful","not","to",3
"be","damned","if","i",3
"be","described","as","a",3
"be","held","at","the",3
"be","in","the","same",3
"be","in","with","a",3
"be","interesting","to","see",3
"be","known","as","the",3
"be","one","of","those",3
"be","part","of","a",3
"be","replaced","by","a",3
"be","the","first","time",3
"be","the","first","to",3
"be","there","for","the",3
"be","used","as","a",3
"be","used","for","other",3
"be","who","i","am",3
"be","willing","to","bet",3
"because","i","have","no",3
"because","i","was","so",3
"because","it","was","a",3
"because","of","all","the",3
"because","of","this","i",3
"because","there","is","no",3
"because","there","was","no",3
"because","we","live","in",3
"because","you","want","to",3
"been","a","long","time",3
"been","a","lot","of",3
"been","able","to","be",3
"been","lucky","enough","to",3
"before","i","have","to",3
"being","in","the","center",3
"believe","it","or","not",3
"best","of","the","best",3
"better","stronger","person","in",3
"between","the","two","of",3
"bits","and","pieces","in",3
"black","and","white","and",3
"blow","up","a","bridge",3
"book","buy","my","book",3
"books","in","the","series",3
"born","of","the","spirit",3
"both","ends","of","the",3
"bottom","of","my","heart",3
"bring","to","a","boil",3
"brings","me","to","my",3
"built","in","the","s",3
"but","after","a","few",3
"but","feel","free","to",3
"but","from","what","i",3
"but","here","are","some",3
"but","i","dont","have",3
"but","i","guess","i",3
"but","i","had","no",3
"but","i","have","been",3
"but","i","have","no",3
"but","i","love","it",3
"but","i","think","i",3
"but","i","think","this",3
"but","i","want","to",3
"but","it","does","not",3
"but","it","is","the",3
"but","it","was","so",3
"but","it","was","the",3
"but","it","will","be",3
"but","its","not","a",3
"but","lets","be","honest",3
"but","none","of","them",3
"but","one","thing","i",3
"but","other","than","that",3
"but","since","i","am",3
"but","that","would","be",3
"but","the","fact","that",3
"but","there","are","several",3
"but","there","was","no",3
"but","theres","something","about",3
"but","they","are","all",3
"but","this","is","a",3
"but","this","is","the",3
"but","we","dont","want",3
"but","you","can","use",3
"by","no","means","a",3
"by","one","of","the",3
"by","the","fact","that",3
"by","the","name","of",3
"by","the","power","of",3
"by","the","renewing","of",3
"by","the","way","if",3
"c","c","c","c",3
"came","up","with","a",3
"came","up","with","the",3
"can","be","found","on",3
"can","be","reached","at",3
"can","be","traced","to",3
"can","be","used","to",3
"can","get","a","little",3
"can","learn","about","the",3
"can","only","be","described",3
"can","you","tell","us",3
"cant","figure","out","what",3
"cant","help","but","feel",3
"cant","say","enough","about",3
"caught","up","in","the",3
"chicago","illinois","incorporated","in",3
"cleaner","better","stronger","person",3
"click","on","the","link",3
"come","away","with","a",3
"come","home","from","school",3
"come","out","of","it",3
"come","up","with","this",3
"corps","consisting","of","the",3
"could","have","been","a",3
"could","see","it","in",3
"country","in","the","world",3
"couple","of","times","a",3
"course","i","had","to",3
"damage","attacks","up","to",3
"day","i","went","to",3
"day","in","the","life",3
"day","to","all","the",3
"definitely","going","to","be",3
"department","of","human","services",3
"depending","on","the","size",3
"did","a","good","job",3
"did","i","mention","that",3
"did","i","tell","you",3
"did","not","know","how",3
"did","not","rule","out",3
"did","you","think","of",3
"didnt","have","the","time",3
"didnt","think","it","was",3
"didnt","want","to","deal",3
"didnt","want","to","go",3
"difference","in","the","world",3
"do","i","want","to",3
"do","it","all","in",3
"do","not","have","mpd",3
"do","not","have","the",3
"do","not","know","the",3
"do","not","want","to",3
"do","whatever","it","takes",3
"do","you","call","candles",3
"do","you","know","how",3
"do","you","need","to",3
"do","you","think","are",3
"do","you","think","i",3
"do","you","think","of",3
"do","you","think","that",3
"does","not","want","to",3
"doesnt","even","have","a",3
"doesnt","seem","to","be",3
"doing","my","best","to",3
"dont","have","a","lot",3
"dont","know","how","long",3
"dont","know","if","its",3
"dont","know","what","it",3
"dont","want","to","go",3
"dont","want","to","know",3
"dr","jekyll","and","mr",3
"due","to","the","fact",3
"during","the","s","and",3
"each","other","and","the",3
"each","other","in","the",3
"easier","said","than","done",3
"end","of","last","year",3
"end","of","the","age",3
"end","of","the","first",3
"end","of","the","th",3
"end","of","this","post",3
"end","up","with","a",3
"ended","up","going","with",3
"ends","of","the","court",3
"english","as","a","second",3
"equates","to","new","dwellings",3
"even","if","i","dont",3
"even","if","it","is",3
"even","if","it","was",3
"even","if","it","wasnt",3
"even","in","the","midst",3
"even","more","so","than",3
"even","more","than","the",3
"even","some","of","the",3
"even","though","i","love",3
"even","though","i","was",3
"ever","be","able","to",3
"ever","been","able","to",3
"ever","had","one","of",3
"every","day","of","the",3
"every","time","i","go",3
"everyone","in","the","family",3
"everyone","who","joined","in",3
"everything","that","has","been",3
"exactly","the","same","way",3
"fact","that","i","am",3
"fact","that","it","is",3
"fall","in","love","with",3
"fannie","mae","and","freddie",3
"father","and","of","the",3
"feel","as","if","i",3
"feel","as","though","i",3
"feel","free","to","do",3
"feel","like","i","have",3
"feel","like","it","is",3
"feel","out","of","place",3
"felt","like","i","wanted",3
"few","months","ago","i",3
"few","weeks","ago","on",3
"few","years","ago","i",3
"filing","jointly","or","if",3
"first","part","of","the",3
"first","six","months","of",3
"first","thing","in","the",3
"first","time","in","a",3
"first","time","in","years",3
"first","time","ive","seen",3
"focus","was","on","the",3
"follow","me","on","twitter",3
"food","on","the","table",3
"for","a","day","or",3
"for","a","few","months",3
"for","a","few","weeks",3
"for","a","moment","and",3
"for","a","number","of",3
"for","a","short","time",3
"for","a","total","of",3
"for","a","while","i",3
"for","a","while","now",3
"for","about","minutes","before",3
"for","all","of","our",3
"for","all","of","your",3
"for","almost","a","year",3
"for","an","hour","and",3
"for","anyone","who","has",3
"for","me","and","my",3
"for","me","as","a",3
"for","me","it","was",3
"for","me","this","year",3
"for","me","when","i",3
"for","taking","the","time",3
"for","the","benefit","of",3
"for","the","better","part",3
"for","the","cost","of",3
"for","the","duration","of",3
"for","the","fact","that",3
"for","the","life","of",3
"for","the","longest","time",3
"for","the","next","book",3
"for","the","past","few",3
"for","the","past","two",3
"for","the","same","reason",3
"for","those","who","are",3
"for","those","who","dont",3
"for","those","who","want",3
"for","you","if","you",3
"for","you","to","get",3
"found","out","i","was",3
"free","to","do","so",3
"friend","of","mine","in",3
"friends","that","have","lost",3
"from","all","of","the",3
"from","my","minds","eye",3
"from","the","bottom","of",3
"from","the","center","of",3
"from","the","fact","that",3
"from","the","list","of",3
"from","the","love","of",3
"from","the","university","of",3
"front","of","the","computer",3
"get","a","feel","for",3
"get","back","to","the",3
"get","caught","up","in",3
"get","hung","up","on",3
"get","to","know","each",3
"get","used","to","the",3
"getting","in","the","way",3
"give","birth","to","a",3
"give","you","an","idea",3
"go","back","to","school",3
"go","back","to","that",3
"go","to","the","bathroom",3
"go","to","the","hospital",3
"goes","a","long","way",3
"going","back","to","school",3
"going","to","be","making",3
"going","to","be","my",3
"going","to","do","a",3
"going","to","do","with",3
"going","to","give","me",3
"going","to","happen","and",3
"going","to","take","a",3
"going","to","try","to",3
"good","the","bad","and",3
"got","a","call","from",3
"got","a","couple","of",3
"great","way","to","use",3
"guess","what","i","did",3
"guys","are","going","to",3
"had","a","bit","of",3
"had","a","chance","to",3
"had","a","couple","of",3
"had","a","little","more",3
"had","no","idea","how",3
"had","nothing","to","do",3
"had","plenty","of","time",3
"had","so","much","fun",3
"had","the","chance","to",3
"had","the","pleasure","of",3
"had","to","do","a",3
"had","to","get","a",3
"had","to","go","to",3
"half","an","hour","or",3
"happens","to","be","a",3
"happy","new","year","everyone",3
"happy","to","report","that",3
"hard","time","believing","that",3
"harder","and","harder","to",3
"has","a","right","to",3
"has","a","way","of",3
"has","come","up","with",3
"has","something","to","do",3
"have","a","good","time",3
"have","a","good","weekend",3
"have","access","to","the",3
"have","always","been","a",3
"have","at","least","one",3
"have","been","trying","to",3
"have","been","working","on",3
"have","gone","on","to",3
"have","more","of","a",3
"have","no","choice","but",3
"have","no","idea","where",3
"have","no","idea","who",3
"have","the","chance","to",3
"have","the","power","to",3
"have","to","be","honest",3
"have","to","deal","with",3
"have","to","give","up",3
"have","to","go","and",3
"have","to","learn","to",3
"have","to","make","a",3
"have","to","make","sure",3
"have","to","think","about",3
"have","to","wait","until",3
"have","you","ever","been",3
"have","you","ever","had",3
"having","a","good","time",3
"having","such","a","struggle",3
"he","asked","me","to",3
"he","said","it","was",3
"he","was","born","in",3
"he","was","on","the",3
"he","was","trying","to",3
"heck","of","a","lot",3
"her","husband","and","her",3
"her","i","love","her",3
"her","when","she","was",3
"here","are","some","pics",3
"here","is","the","list",3
"his","or","her","own",3
"hit","by","a","car",3
"honest","with","you","i",3
"hope","to","see","you",3
"hope","you","all","had",3
"hope","you","are","having",3
"hoping","that","by","the",3
"hours","am","to","pm",3
"how","i","made","my",3
"how","i","was","feeling",3
"how","much","of","a",3
"how","to","make","it",3
"how","to","use","the",3
"hung","up","on","the",3
"husband","and","i","had",3
"i","also","have","a",3
"i","also","know","that",3
"i","am","a","bit",3
"i","am","a","good",3
"i","am","a","mother",3
"i","am","excited","to",3
"i","am","feeling","a",3
"i","am","glad","i",3
"i","am","hoping","that",3
"i","am","in","love",3
"i","am","not","saying",3
"i","am","not","trying",3
"i","am","on","a",3
"i","am","pretty","sure",3
"i","am","sorry","to",3
"i","am","struck","by",3
"i","am","the","only",3
"i","am","working","on",3
"i","believe","it","is",3
"i","came","away","with",3
"i","came","to","a",3
"i","came","up","with",3
"i","can","do","to",3
"i","can","only","imagine",3
"i","can","see","how",3
"i","cant","say","i",3
"i","cant","seem","to",3
"i","cant","wait","for",3
"i","could","do","it",3
"i","could","do","was",3
"i","could","go","back",3
"i","could","make","it",3
"i","couldnt","help","but",3
"i","couldnt","tell","you",3
"i","decided","that","the",3
"i","decided","to","get",3
"i","decided","to","go",3
"i","decided","to","write",3
"i","did","a","little",3
"i","did","for","the",3
"i","did","not","feel",3
"i","didnt","have","any",3
"i","do","have","a",3
"i","do","have","some",3
"i","do","know","that",3
"i","do","not","want",3
"i","dont","have","any",3
"i","dont","have","time",3
"i","dont","like","the",3
"i","dont","think","anyone",3
"i","dont","think","he",3
"i","dont","think","its",3
"i","dont","think","ive",3
"i","dont","want","your",3
"i","ended","up","with",3
"i","feel","about","my",3
"i","feel","like","a",3
"i","feel","like","it",3
"i","feel","like","ive",3
"i","feel","like","the",3
"i","feel","sorry","for",3
"i","feel","that","if",3
"i","felt","as","though",3
"i","felt","like","a",3
"i","figured","why","not",3
"i","finally","get","to",3
"i","forgot","to","take",3
"i","gave","it","a",3
"i","get","back","to",3
"i","got","a","job",3
"i","grew","up","in",3
"i","guess","i","should",3
"i","had","a","big",3
"i","had","a","few",3
"i","had","a","lot",3
"i","had","a","really",3
"i","had","my","first",3
"i","had","never","heard",3
"i","had","planned","to",3
"i","had","so","much",3
"i","had","the","opportunity",3
"i","had","to","make",3
"i","had","to","start",3
"i","have","a","lot",3
"i","have","been","making",3
"i","have","been","trying",3
"i","have","begun","to",3
"i","have","ever","done",3
"i","have","ever","had",3
"i","have","ever","seen",3
"i","have","had","some",3
"i","have","never","met",3
"i","have","no","doubt",3
"i","have","said","before",3
"i","have","to","make",3
"i","have","to","remember",3
"i","hope","you","enjoy",3
"i","hope","you","enjoyed",3
"i","just","thought","id",3
"i","knew","i","had",3
"i","know","a","lot",3
"i","know","i","will",3
"i","know","it","will",3
"i","know","that","i",3
"i","know","that","there",3
"i","know","this","is",3
"i","know","what","im",3
"i","learned","a","lot",3
"i","like","to","call",3
"i","like","to","keep",3
"i","like","to","think",3
"i","live","in","the",3
"i","look","back","on",3
"i","made","my","own",3
"i","may","have","to",3
"i","might","have","to",3
"i","must","do","it",3
"i","must","say","i",3
"i","need","to","go",3
"i","need","to","know",3
"i","need","to","seriously",3
"i","never","thought","id",3
"i","never","would","have",3
"i","now","have","a",3
"i","only","wanted","to",3
"i","pointed","out","that",3
"i","probably","would","have",3
"i","realized","i","was",3
"i","really","believe","that",3
"i","really","dont","want",3
"i","really","enjoyed","it",3
"i","remember","when","i",3
"i","said","i","was",3
"i","said","it","was",3
"i","should","not","be",3
"i","started","with","the",3
"i","still","have","no",3
"i","suppose","it","is",3
"i","thank","you","for",3
"i","think","i","am",3
"i","think","i","may",3
"i","think","i","was",3
"i","think","im","going",3
"i","think","is","a",3
"i","think","that","if",3
"i","think","that","is",3
"i","think","that","the",3
"i","think","that","was",3
"i","think","they","are",3
"i","think","we","have",3
"i","thought","about","it",3
"i","thought","about","the",3
"i","thought","he","was",3
"i","thought","id","share",3
"i","thought","itd","be",3
"i","thought","of","the",3
"i","thought","to","myself",3
"i","told","her","that",3
"i","told","him","that",3
"i","took","care","of",3
"i","try","so","hard",3
"i","try","to","be",3
"i","want","to","go",3
"i","want","to","share",3
"i","want","to","tell",3
"i","wanted","to","get",3
"i","wanted","to","share",3
"i","was","dying","to",3
"i","was","finally","able",3
"i","was","inspired","by",3
"i","was","pregnant","with",3
"i","was","so","happy",3
"i","was","told","by",3
"i","was","waiting","for",3
"i","went","to","bed",3
"i","went","with","the",3
"i","will","be","out",3
"i","will","choose","to",3
"i","will","do","my",3
"i","will","let","you",3
"i","will","never","forget",3
"i","will","try","to",3
"i","wish","i","could",3
"i","would","have","thought",3
"i","would","not","be",3
"i","wouldnt","be","able",3
"icing","on","the","cake",3
"id","be","delighted","to",3
"id","like","to","think",3
"id","love","to","know",3
"if","i","can","get",3
"if","i","can","help",3
"if","i","dont","get",3
"if","i","have","a",3
"if","i","have","to",3
"if","i","need","to",3
"if","i","remember","correctly",3
"if","i","want","to",3
"if","i","would","like",3
"if","it","were","a",3
"if","that","is","what",3
"if","we","do","not",3
"if","we","wanted","to",3
"if","you","are","looking",3
"if","you","are","married",3
"if","you","are","using",3
"if","you","can","find",3
"if","you","dont","know",3
"if","you","dont","want",3
"if","you","have","the",3
"if","you","havent","already",3
"if","you","like","to",3
"if","you","missed","the",3
"if","you","need","to",3
"if","you","wanted","to",3
"if","youre","a","fan",3
"ill","let","you","know",3
"ill","say","it","again",3
"illinois","incorporated","in","item",3
"im","a","little","late",3
"im","going","to","do",3
"im","going","to","make",3
"im","going","to","start",3
"im","in","a","bit",3
"im","not","all","that",3
"im","not","quite","sure",3
"im","not","sure","that",3
"im","not","talking","about",3
"im","one","of","those",3
"im","really","excited","about",3
"in","a","few","days",3
"in","a","foreign","country",3
"in","a","pair","of",3
"in","a","plastic","bag",3
"in","a","position","of",3
"in","a","separate","bowl",3
"in","a","short","time",3
"in","a","small","saucepan",3
"in","a","small","town",3
"in","a","strange","way",3
"in","a","telephone","interview",3
"in","a","time","of",3
"in","a","warm","place",3
"in","a","way","i",3
"in","a","while","but",3
"in","all","it","was",3
"in","any","way","that",3
"in","at","least","three",3
"in","exactly","the","same",3
"in","fact","according","to",3
"in","fact","i","am",3
"in","fact","i","think",3
"in","front","of","all",3
"in","front","of","everyone",3
"in","front","of","her",3
"in","front","of","his",3
"in","front","of","them",3
"in","honor","of","the",3
"in","las","vegas","i",3
"in","less","than","a",3
"in","love","with","him",3
"in","my","life","that",3
"in","my","living","room",3
"in","my","opinion","the",3
"in","new","york","and",3
"in","next","dc","dc",3
"in","one","of","those",3
"in","other","words","its",3
"in","our","case","we",3
"in","real","life","and",3
"in","so","far","as",3
"in","the","background","i",3
"in","the","beginning","but",3
"in","the","beginning","of",3
"in","the","book","and",3
"in","the","book","of",3
"in","the","centre","of",3
"in","the","city","and",3
"in","the","city","of",3
"in","the","country","and",3
"in","the","early","days",3
"in","the","end","it",3
"in","the","end","we",3
"in","the","family","is",3
"in","the","fridge","and",3
"in","the","future","i",3
"in","the","heat","of",3
"in","the","hopes","that",3
"in","the","hospital","bed",3
"in","the","last","couple",3
"in","the","last","weeks",3
"in","the","last","year",3
"in","the","last","years",3
"in","the","life","of",3
"in","the","living","room",3
"in","the","loss","of",3
"in","the","northern","part",3
"in","the","office","and",3
"in","the","opposite","direction",3
"in","the","past","and",3
"in","the","past","few",3
"in","the","past","with",3
"in","the","picture","above",3
"in","the","presence","of",3
"in","the","price","of",3
"in","the","rest","of",3
"in","the","s","i",3
"in","the","s","when",3
"in","the","same","place",3
"in","the","second","half",3
"in","the","third","quarter",3
"in","the","top","of",3
"in","the","wrong","direction",3
"in","this","case","the",3
"in","this","case","there",3
"in","which","case","a",3
"in","which","they","live",3
"in","with","a","chance",3
"into","all","of","the",3
"introduce","you","to","the",3
"is","a","big","deal",3
"is","a","difference","between",3
"is","a","good","time",3
"is","a","little","bit",3
"is","a","little","like",3
"is","a","lot","more",3
"is","a","matter","of",3
"is","a","part","of",3
"is","a","picture","of",3
"is","a","response","to",3
"is","a","story","of",3
"is","a","very","important",3
"is","a","way","to",3
"is","a","year","old",3
"is","back","in","the",3
"is","based","on","an",3
"is","based","on","the",3
"is","because","of","the",3
"is","due","to","the",3
"is","going","to","get",3
"is","going","to","have",3
"is","hard","to","believe",3
"is","having","such","a",3
"is","it","like","to",3
"is","just","one","of",3
"is","known","for","its",3
"is","more","like","a",3
"is","no","reason","to",3
"is","not","an","option",3
"is","not","just","a",3
"is","not","only","a",3
"is","not","to","say",3
"is","nothing","wrong","with",3
"is","one","of","a",3
"is","only","the","first",3
"is","out","of","the",3
"is","part","and","parcel",3
"is","ready","to","be",3
"is","referred","to","as",3
"is","so","much","more",3
"is","that","there","are",3
"is","that","we","are",3
"is","that","we","have",3
"is","the","ability","to",3
"is","the","author","of",3
"is","the","first","time",3
"is","the","most","common",3
"is","the","most","important",3
"is","the","one","who",3
"is","the","reason","why",3
"is","the","way","to",3
"is","there","a","way",3
"is","to","be","done",3
"is","to","have","a",3
"is","to","say","that",3
"is","trying","to","be",3
"is","used","in","the",3
"is","what","we","do",3
"is","why","i","dont",3
"is","why","so","many",3
"is","worth","telling","because",3
"it","a","bit","of",3
"it","a","point","to",3
"it","all","the","time",3
"it","back","on","the",3
"it","can","be","a",3
"it","comes","down","to",3
"it","could","be","that",3
"it","could","have","been",3
"it","dawned","on","me",3
"it","doesnt","matter","what",3
"it","doesnt","really","matter",3
"it","doesnt","seem","to",3
"it","down","to","the",3
"it","feels","like","to",3
"it","hit","me","that",3
"it","is","a","matter",3
"it","is","a","shame",3
"it","is","also","a",3
"it","is","important","for",3
"it","is","in","the",3
"it","is","just","a",3
"it","is","not","as",3
"it","is","not","clear",3
"it","is","not","the",3
"it","is","possible","to",3
"it","is","said","that",3
"it","is","still","a",3
"it","is","the","most",3
"it","is","to","make",3
"it","is","worth","telling",3
"it","like","to","be",3
"it","makes","me","feel",3
"it","makes","me","want",3
"it","makes","me","wonder",3
"it","mean","to","love",3
"it","or","not","i",3
"it","out","in","a",3
"it","really","is","a",3
"it","to","be","a",3
"it","was","a","bit",3
"it","was","a","nice",3
"it","was","an","interesting",3
"it","was","because","of",3
"it","was","kind","of",3
"it","was","like","a",3
"it","was","meant","to",3
"it","was","so","nice",3
"it","was","sooo","good",3
"it","was","such","an",3
"it","was","supposed","to",3
"it","was","the","most",3
"it","was","the","right",3
"it","was","the","same",3
"it","was","their","first",3
"it","will","always","be",3
"it","will","be","interesting",3
"it","will","not","be",3
"it","would","be","fun",3
"it","would","be","good",3
"it","would","be","the",3
"it","would","be","very",3
"it","would","seem","that",3
"its","a","combination","of",3
"its","a","great","way",3
"its","almost","as","if",3
"its","going","to","take",3
"its","like","to","be",3
"its","like","to","lose",3
"its","not","often","that",3
"its","time","to","go",3
"ive","been","a","bit",3
"ive","never","been","a",3
"ive","seen","a","lot",3
"jekyll","and","mr","hyde",3
"just","a","few","hours",3
"just","around","the","corner",3
"just","as","long","as",3
"just","going","to","have",3
"just","had","to","do",3
"just","had","to","share",3
"just","have","to","get",3
"just","in","time","for",3
"just","in","time","to",3
"just","one","of","many",3
"just","to","give","you",3
"just","too","good","to",3
"keep","an","eye","on",3
"keep","up","with","the",3
"know","a","lot","about",3
"know","a","lot","of",3
"know","if","i","was",3
"know","the","answer","to",3
"know","what","i","mean",3
"know","what","i","want",3
"know","what","it","was",3
"know","what","that","means",3
"know","what","they","are",3
"known","to","be","a",3
"la","la","la","la",3
"last","few","weeks","i",3
"last","night","when","i",3
"last","post","i","mentioned",3
"later","in","the","day",3
"learned","how","to","do",3
"leave","a","comment","below",3
"leave","a","comment","on",3
"leave","me","a","comment",3
"less","than","a","minute",3
"less","than","a","week",3
"let","me","know","if",3
"let","you","know","about",3
"level","mp","cost","duration",3
"like","i","said","i",3
"like","i","wanted","to",3
"like","its","going","to",3
"like","most","of","the",3
"like","that","it","was",3
"like","the","idea","of",3
"like","to","be","a",3
"like","to","have","a",3
"like","to","lose","a",3
"like","to","thank","the",3
"like","to","think","that",3
"little","bit","of","a",3
"long","as","i","can",3
"look","on","his","face",3
"looked","at","me","with",3
"looked","up","at","the",3
"looking","forward","to","seeing",3
"lord","jesus","christ","and",3
"love","her","i","love",3
"love","to","hear","your",3
"love","to","know","what",3
"lucky","enough","to","get",3
"mae","and","freddie","mac",3
"make","a","huge","difference",3
"make","all","the","difference",3
"make","for","a","good",3
"make","it","look","like",3
"make","me","want","to",3
"make","sure","i","have",3
"make","sure","it","is",3
"make","sure","that","i",3
"make","the","most","of",3
"make","up","for","it",3
"make","way","for","the",3
"many","of","the","guys",3
"many","of","us","are",3
"married","filing","jointly","or",3
"matter","of","time","before",3
"may","be","in","the",3
"may","have","had","a",3
"me","and","i","am",3
"me","i","have","a",3
"me","if","i","was",3
"me","know","what","you",3
"me","some","of","the",3
"me","that","i","was",3
"me","when","i","was",3
"mean","to","love","a",3
"members","of","the","international",3
"men","and","women","who",3
"might","be","a","bit",3
"might","be","fun","to",3
"might","just","be","the",3
"million","or","cents","a",3
"months","ago","i","was",3
"more","i","got","to",3
"more","than","a","hundred",3
"more","than","a","little",3
"more","than","enough","to",3
"more","than","half","of",3
"more","than","half","the",3
"more","than","i","can",3
"more","than","one","occasion",3
"more","to","come","on",3
"more","to","do","with",3
"most","of","the","people",3
"most","of","them","are",3
"most","of","you","know",3
"moved","to","los","angeles",3
"mp","cost","duration","seconds",3
"much","as","i","love",3
"much","as","i","would",3
"my","all","time","favourite",3
"my","best","to","keep",3
"my","brother","and","i",3
"my","friend","and","i",3
"my","hope","is","that",3
"my","life","has","been",3
"my","mother","told","me",3
"name","of","the","father",3
"nec","multisync","lcd","m",3
"need","to","create","a",3
"never","a","dull","moment",3
"never","heard","of","it",3
"new","york","city","in",3
"new","york","city","is",3
"new","york","new","york",3
"nine","members","of","the",3
"no","lines","for","the",3
"no","more","than","a",3
"no","one","in","my",3
"no","one","wants","to",3
"no","show","on","television",3
"no","way","i","could",3
"none","the","less","and",3
"not","all","of","the",3
"not","always","the","case",3
"not","in","any","way",3
"not","just","because","of",3
"not","know","how","to",3
"not","meant","to","be",3
"not","one","of","them",3
"not","sure","how","it",3
"not","to","be","confused",3
"not","to","mention","his",3
"not","too","long","ago",3
"nothing","wrong","with","that",3
"now","i","want","to",3
"now","is","the","time",3
"obama","regime","wouldnt","allow",3
"of","a","lot","of",3
"of","a","number","of",3
"of","a","sudden","i",3
"of","a","sudden","there",3
"of","being","able","to",3
"of","course","i","had",3
"of","course","it","is",3
"of","course","that","was",3
"of","goods","and","services",3
"of","her","life","and",3
"of","it","but","i",3
"of","it","in","the",3
"of","millions","of","dollars",3
"of","more","than","years",3
"of","my","life","and",3
"of","olive","oil","and",3
"of","one","of","my",3
"of","one","of","these",3
"of","respect","for","the",3
"of","the","brain","that",3
"of","the","city","and",3
"of","the","day","at",3
"of","the","day","the",3
"of","the","death","of",3
"of","the","design","team",3
"of","the","european","union",3
"of","the","father","and",3
"of","the","four","seasons",3
"of","the","game","as",3
"of","the","matter","and",3
"of","the","most","common",3
"of","the","most","exciting",3
"of","the","most","important",3
"of","the","most","successful",3
"of","the","new","year",3
"of","the","opinion","that",3
"of","the","people","and",3
"of","the","people","of",3
"of","the","reason","is",3
"of","the","reasons","why",3
"of","the","school","year",3
"of","the","show","the",3
"of","the","son","and",3
"of","the","things","we",3
"of","the","time","and",3
"of","the","time","but",3
"of","the","time","its",3
"of","the","week","for",3
"of","the","word","of",3
"of","the","world","and",3
"of","the","world","as",3
"of","the","world","the",3
"of","thousands","of","dollars",3
"of","thousands","of","people",3
"of","you","know","that",3
"of","you","who","have",3
"off","to","a","good",3
"on","a","pair","of",3
"on","a","saturday","night",3
"on","and","off","and",3
"on","any","of","the",3
"on","behalf","of","the",3
"on","both","sides","of",3
